,FLDS,FSDS,PRECTmms,PSRF,QBOT,TBOT,WIND
mean,241.61348580062975,97.75458921397247,6.108417376083734e-06,101517.92885260089,0.0017366085448494591,265.1942151892329,2.8788591383582154
min,124.493408203125,-0.02685546875,0.0,99128.11279296875,0.0001058959960937439,236.1052703857422,0.5445281982421832
max,363.47250366210847,640.371337890625,0.00012084960937500001,104250.79345703125,0.006910400390624995,294.68711853027344,6.71185302734375
