gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
tvc,2021-01-01 05:00,241.83764071627888,239.04784540073152,101212.7041103297,1.2100901281595708,1.4319758036595263,0.0,573708.093545716,1.8946208552683305E-6
tfs,2021-01-01 05:00,248.2943722719567,239.04777815287815,90184.94002062586,-1.4671172986493792,1.6484271122467822,0.0,538425.6431428686,1.737455876837844E-8
abs,2021-01-01 05:00,264.6097620145691,263.6026579091922,91178.75118969132,-1.6411132649434017,0.5492339606771116,0.0,909026.6360837684,4.050931263434673E-5
bs,2021-01-01 05:00,267.7299324900834,266.79336593387836,98367.85412286356,-1.8140522299159563,2.0981363264426425,0.0,1052211.592240912,3.5201755973368436E-5
si,2021-01-01 05:00,251.8378216905326,249.35426504782302,101221.99638486939,4.855117281059615,-3.3490179273162792,0.0,760875.5143966577,7.749230449176617E-5
tl27,2021-01-01 06:00,265.78142305006696,264.1994811504821,97403.9891276779,-4.719159670261313,0.655606563727001,0.0,948048.8912797283,4.178093685599203E-5
tl47,2021-01-01 06:00,265.71877230165575,264.0818103876959,97772.33789845645,-4.551511083107869,0.5366580295218115,0.0,940226.6733082522,3.896750910648832E-5
kg,2021-01-01 06:00,264.854602657686,263.49597268381507,97100.01660006889,-2.504814305779157,0.44822338853304444,0.0,985297.3466802618,1.0172891860041152E-4
kfc,2021-01-01 06:00,264.1692922674441,262.7407547056909,97222.67898835783,-2.0476470953249466,0.46421445360370717,0.0,974934.6667647059,8.934604844041897E-5
cnl,2021-01-01 06:00,265.4629043601328,263.9397791276602,97049.05172735163,-3.1019896585295,0.42319027941268506,0.0,998385.2604349792,1.1534252092620214E-4
utq,2021-01-01 06:00,244.73603538994902,241.6695659399875,101729.8776552002,-6.790528438310824,-1.0518501946163976,0.0,552828.0418640709,3.4120270464296903E-6
tvc,2021-01-01 06:00,241.76720270665422,238.93557262595218,101189.3850654118,1.0167376949576632,1.5216252817310039,0.0,583697.4181338794,1.9601626510162105E-6
tfs,2021-01-01 06:00,248.37322249020406,238.95213372505685,90144.12632986224,-1.3904823673636808,1.7224545394482766,0.0,563175.5758068949,4.3510029075557056E-8
abs,2021-01-01 06:00,264.3725236270134,263.2981645283483,91189.40343876847,-1.5497167445083733,0.505537982977925,0.0,924261.7061257309,3.894382918356467E-5
bs,2021-01-01 06:00,267.9875168285485,267.0814802280535,98375.95506858725,-1.8670146629594302,2.24574350987319,0.0,1043219.9021635925,4.1810189016523144E-5
si,2021-01-01 06:00,251.8577963123369,249.44988286455694,101186.29800417398,3.952080860412535,-3.7533857027761814,0.0,746150.9700485948,5.366044170855719E-5
tl27,2021-01-01 07:00,265.9434204485576,264.359683670307,97353.30006655419,-4.3868397613943975,0.5881715061470476,0.0,959074.7157417894,1.5317313668411963E-5
tl47,2021-01-01 07:00,265.9216165621442,264.26323900005144,97722.28596259932,-4.182415066517896,0.4015684039526297,0.0,951066.1445720507,1.1634571582608561E-5
kg,2021-01-01 07:00,264.63527353401116,263.27112999816626,97037.57534869625,-2.2860153957022704,0.2871712832325763,0.0,967709.5119024277,3.705691318146561E-5
kfc,2021-01-01 07:00,263.5476136642157,262.13666480928305,97161.07379718138,-1.8250129310757506,0.2257118063534007,0.0,927563.8345686275,2.4670311048919077E-5
cnl,2021-01-01 07:00,265.2089799603823,263.6303286950253,96975.29380222983,-2.9320305886504054,0.351096317130885,0.0,973908.9829976392,3.731690784671627E-5
utq,2021-01-01 07:00,245.07459662223283,242.04484344253723,101665.30459496677,-6.433358175931788,-1.6037404742780221,0.0,563250.062020846,3.16062691045553E-6
tvc,2021-01-01 07:00,242.1024234718197,239.36008042872746,101170.07124982295,0.6171866149024562,1.694525619689043,0.0,545767.3552253117,2.3027719791978926E-6
tfs,2021-01-01 07:00,249.07978920435622,239.6179466778646,90048.74335528482,-1.2580101231303076,1.6722581907461074,0.0,610361.5575708854,2.0252231934654139E-7
abs,2021-01-01 07:00,264.5103181895615,263.39657364301524,91216.78021947555,-1.2179644733621797,0.6085820570006654,0.0,921501.5737675993,1.5987865730539826E-5
bs,2021-01-01 07:00,267.99106018761864,267.0905765030478,98435.21281750202,-2.1630980956832553,2.216986562529144,0.0,1040433.6445672818,2.2756945436827463E-5
si,2021-01-01 07:00,251.52511219004052,249.09536073049665,101147.27349267258,2.951116499781063,-3.853923138407501,0.0,727890.8836005271,4.273304745613802E-5
tl27,2021-01-01 08:00,265.75666093088273,264.16158929932595,97267.14998879294,-4.319634878816914,0.32439957826680865,0.0,934546.2088838557,1.1305748381314076E-5
tl47,2021-01-01 08:00,265.72580873651685,264.0622421263893,97637.47091457417,-4.13950287812441,0.18946805521259388,0.0,922434.0290084649,7.847785318283142E-6
kg,2021-01-01 08:00,264.655389685309,263.26403201150447,96956.14018533814,-2.3097839181930615,0.2364720311967656,0.0,970117.1255343346,2.602902801510231E-5
kfc,2021-01-01 08:00,263.6212367063036,262.19056274174704,97081.77696936273,-1.8374793605430453,0.21213601505055155,0.0,938355.2536078431,1.8516515984254727E-5
cnl,2021-01-01 08:00,265.0659002688919,263.4315355072796,96895.17661178677,-2.8995243811919917,0.25508379870353465,0.0,969395.6784368879,1.8036346348365835E-5
utq,2021-01-01 08:00,244.98954367984726,241.91417731880597,101600.32395730144,-6.381643403889816,-1.8780809084218406,0.0,582830.484968559,3.9539998256838794E-6
tvc,2021-01-01 08:00,242.02713342528813,239.27636595727435,101185.1210021627,0.34984861201171025,1.7293210225357567,0.0,556748.4359801273,2.0890803269767256E-6
tfs,2021-01-01 08:00,248.9767591354592,239.6673205749041,89995.73742444562,-1.3021786873506762,1.6444997893318893,0.0,622389.7233617008,3.817984999766599E-7
abs,2021-01-01 08:00,264.87225702875884,263.608023365945,91197.70624675238,-0.8158645794444838,0.5381575369396383,0.0,899241.7834817057,6.833830072934118E-6
bs,2021-01-01 08:00,268.24296805784877,267.3329330419498,98471.12182497964,-2.129377616596688,2.2784579644950913,0.0,1039037.2709576776,1.4533360028357463E-5
si,2021-01-01 08:00,251.38870955524882,248.94704397651898,101151.01904711561,2.167610180584232,-4.322225785416769,0.0,741030.6117444029,4.785072975930936E-5
tl27,2021-01-01 09:00,265.77716719196684,264.11691384599305,97245.67682232683,-4.355612179161064,0.12902916706296894,0.0,954236.3684409213,8.746138777960256E-6
tl47,2021-01-01 09:00,265.7642482071901,264.0491887637338,97616.49021532814,-4.193666883296503,-2.2952086051781782E-4,0.0,942358.279243602,6.595267885882373E-6
kg,2021-01-01 09:00,264.6921790559935,263.2281809315793,96943.81742988082,-2.3923563480545496,0.12684654206817092,0.0,973122.9525079415,1.693907746044186E-5
kfc,2021-01-01 09:00,263.7053043954886,262.2173040197036,97073.51201531863,-1.9302286592371323,0.08632943905101097,0.0,949884.700745098,1.2281396517566606E-5
cnl,2021-01-01 09:00,264.98942357066693,263.2485706287767,96884.24707320653,-2.8837132199800104,0.058269937020817765,0.0,966974.7429805615,8.63540591117732E-6
utq,2021-01-01 09:00,244.82448586884456,241.75647584506225,101607.93861679245,-6.128172382292631,-1.9613592479875703,0.0,565608.4897062624,3.413209871827237E-6
tvc,2021-01-01 09:00,241.2717786423364,238.56234027414015,101134.93532063052,-0.06301999314457048,1.936685634451113,0.0,500568.68186176225,1.3035223580254596E-6
tfs,2021-01-01 09:00,248.88873432838187,239.78303250051346,89965.83601884515,-1.177692867072453,1.7275162757464528,0.0,612407.9559590576,3.9183058885131316E-7
abs,2021-01-01 09:00,264.5931039390774,263.43605749659184,91188.52745772508,-0.8470588838770338,0.44461846296457874,0.0,835181.4986077889,4.809867684020871E-6
bs,2021-01-01 09:00,268.29364419358615,267.3523493418536,98502.5479792627,-2.236562098618506,2.349902603720687,0.0,1003252.3626559961,1.5795722045913965E-5
si,2021-01-01 09:00,251.2265175711509,248.76332528171366,101151.9437412363,1.600470683366674,-4.599160859184072,0.0,744755.50311095,5.3516514452132106E-5
tl27,2021-01-01 10:00,265.7720644835543,264.0547294573498,97193.38791564429,-4.461955495670906,0.05868747241244731,0.0,952528.9708695104,1.0697381802740466E-5
tl47,2021-01-01 10:00,265.7969893136418,264.0348112220475,97564.27836106504,-4.327416236386088,-0.027098289026339963,0.0,942810.3474580466,1.0210214277982867E-5
kg,2021-01-01 10:00,264.5973927024262,263.0838197100522,96895.28687460782,-2.4473633012368055,0.09279674905679522,0.0,958451.1858896427,1.5152175546445129E-5
kfc,2021-01-01 10:00,263.6003426130706,262.0699105679381,97025.31526715685,-2.007729757869945,0.07035522939644615,0.0,935478.846980392,1.3383248857423367E-5
cnl,2021-01-01 10:00,264.6769588730469,262.8872821318689,96836.97536211637,-2.883122311896326,-0.06914869332709923,0.0,922127.0593199055,6.190128652506623E-6
utq,2021-01-01 10:00,244.52465539952465,241.5136202088375,101558.73532792447,-6.058915630402681,-2.200349795745422,0.0,583064.8892238782,3.1743420372843928E-6
tvc,2021-01-01 10:00,240.7584168015119,238.04905201278444,101124.87074408398,-0.30670355004897715,2.000119639120448,0.0,491902.6193236293,4.7019345866535545E-7
tfs,2021-01-01 10:00,248.6682285838579,239.90606235620993,89922.20675381878,-1.0398769246264483,1.8245164289339477,0.0,587783.1366720266,5.004634375272816E-7
abs,2021-01-01 10:00,264.1473135479742,263.01745298366103,91215.6678307238,-0.9285690976038202,0.4647952526745843,0.0,828740.6531236521,7.161109806243159E-6
bs,2021-01-01 10:00,268.59703530918557,267.52738822651384,98494.7352228025,-2.4432795209465494,2.4773358879565417,0.0,1022743.8231823116,2.0599643569955083E-5
si,2021-01-01 10:00,250.9678092016513,248.43914954030743,101158.19092105118,1.3262193727365523,-4.629677814317503,0.0,744619.1299332398,6.58280640939335E-5
tl27,2021-01-01 11:00,265.7461870000755,263.97261478418795,97147.40034515779,-4.490457982406147,-0.14388172902805305,0.0,942879.6977475778,8.739977775016671E-6
tl47,2021-01-01 11:00,265.8459959236456,264.0336468195562,97520.61395030723,-4.3809246234885295,-0.1946570329999907,0.0,941862.0706895697,1.2117251255896874E-5
kg,2021-01-01 11:00,264.43094150688773,262.8718193667866,96856.89992178,-2.4920915310193688,-0.05577215401676291,0.0,940206.7193223262,1.4595226311834192E-5
kfc,2021-01-01 11:00,263.40937817382815,261.83360505706185,96991.86010232841,-2.060831959443934,-0.03915760952818632,0.0,918245.1758039215,1.8527620563320088E-5
cnl,2021-01-01 11:00,264.5798292217995,262.70162488529354,96795.7505283807,-2.9179787488026574,-0.24366402409282545,0.0,923830.8985383494,4.782774266488189E-6
utq,2021-01-01 11:00,244.49348164352304,241.39521895622306,101550.26503985327,-6.381363531489413,-2.5187069573075047,0.0,558695.9704539584,2.8802202760182326E-6
tvc,2021-01-01 11:00,240.3090760330683,237.60705379677938,101091.99715126005,-0.4177294797389456,2.084412339279586,0.0,488919.3228885209,3.36944763385916E-7
tfs,2021-01-01 11:00,248.7540009742934,240.44682307403994,89903.18354074545,-0.9854107773010863,1.7745521509804925,0.0,624516.5433938587,1.6020574477697022E-6
abs,2021-01-01 11:00,264.06139882874373,262.9096047793274,91203.52571102671,-0.7951852951130594,0.42423598508918264,0.0,816931.1714184874,1.656690519591623E-5
bs,2021-01-01 11:00,269.1003475427241,267.8240292197779,98519.66091927225,-2.558080846048604,2.6127452798596047,0.0,1045382.982569181,3.0429272271179343E-5
si,2021-01-01 11:00,250.71551063648835,248.0992102196586,101134.27365056176,1.3273720589032307,-4.566979679437007,0.0,751359.175257732,8.590519800460755E-5
tl27,2021-01-01 12:00,265.679256523212,263.8552796385552,97079.47715332832,-4.588709935761554,-0.2098231859832376,0.0,932794.1095381906,4.1396820846707385E-6
tl47,2021-01-01 12:00,265.8191333040142,263.95296410176843,97452.43534045345,-4.481882996750577,-0.24639209063535494,0.0,933337.1222711748,8.182707006851876E-6
kg,2021-01-01 12:00,264.27309567356366,262.66312776138665,96787.17510245499,-2.4996538267326742,-0.13028393751443837,0.0,923419.397741088,1.0488490772423096E-5
