gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
tl27,2020-01-01 00:00,250.32436773584104,246.6278220676275,97978.32448221423,2.3284549101112746,-8.942239291175625,56557.26739650183,637360.0655593306,2.468446635503926E-5
tl47,2020-01-01 00:00,250.62638268452585,246.96096195666414,98423.30060760451,2.2872261895996986,-9.385027093312793,50934.79768328301,640210.7788228305,3.1209246196768544E-5
kg,2020-01-01 00:00,249.32900788182909,245.61597991276733,97347.40822572085,2.134539713059749,-6.549088669167325,46884.34260167066,603208.1081218871,2.3019513554084798E-5
kfc,2020-01-01 00:00,249.24428661630674,245.83724220186122,97485.65672365196,2.1177433124617036,-6.627022451363358,36551.10698039215,610195.5164705883,3.152477390625898E-5
cnl,2020-01-01 00:00,248.3890660559133,244.57457389526886,96971.89144494165,2.2189779797517177,-6.823863223050622,57469.15123813352,536797.2525490983,7.07680238138109E-6
utq,2020-01-01 00:00,246.12760543987548,243.2511483720748,100471.94197490902,0.027497767950277002,-5.858595591201803,0.0,623905.9644241537,3.3983529943840302E-6
tvc,2020-01-01 00:00,244.32702065096032,241.33361667715187,98887.46287309066,1.3102485911428259,-0.7817881339867924,0.0,647826.3156977253,4.153934090739919E-6
tfs,2020-01-01 00:00,243.28215777557503,240.15391890057086,88758.35245882804,0.6421679610425137,-1.1564943057854298,0.0,757878.5719832153,3.5095718581188703E-4
abs,2020-01-01 00:00,264.982492607946,263.18655207368556,89676.37304787079,1.5404980349547266,0.3178292890124062,0.0,887350.2529118796,9.33953106714243E-5
bs,2020-01-01 00:00,258.13602747635156,255.68864729866286,96103.49661090951,-2.2462542529217395,1.2145058543411724,0.0,737166.715680955,4.549449632107016E-6
si,2020-01-01 00:00,237.8902963445743,234.00008386616884,101118.06536701972,0.9054234086874371,5.18168366477797,0.0,428697.47940415115,0.0
tl27,2020-01-01 01:00,250.3521301530661,246.65096069351299,98023.92368975715,2.4361461304832264,-9.027350777452872,17667.57995155405,635074.4657417893,2.4756193896974728E-5
tl47,2020-01-01 01:00,250.66635160237033,246.97637573864594,98459.51639460916,2.3781357517774016,-9.48427636058878,14877.751509826247,644516.7242061036,3.11915209627253E-5
kg,2020-01-01 01:00,249.3968974161001,245.6805610047859,97375.02286609277,2.163288700051848,-6.573185685877847,10182.070130201184,607452.7800526492,2.280335219295648E-5
kfc,2020-01-01 01:00,249.33090893554692,245.8996067421109,97506.88651960784,2.1420422243604476,-6.676641381357229,5744.063196078432,620485.8886666667,3.1523105195339984E-5
cnl,2020-01-01 01:00,248.5365893376263,244.68676618935982,96996.78446619617,2.272405419849524,-6.939259632916683,11780.58575267467,546761.1625929227,7.496506882861113E-6
utq,2020-01-01 01:00,245.81736947666803,242.91841035978123,100504.68754307007,-0.037201835979981196,-5.8191351876187785,0.0,614498.643579335,3.3337555171722734E-6
tvc,2020-01-01 01:00,244.81462776385584,241.84034026112772,98936.7696929748,1.3317268229939827,-0.8566401110981354,0.0,680211.4940185652,4.917241868021641E-6
tfs,2020-01-01 01:00,243.1760162816683,240.05755801937477,88729.01376769676,0.6075170582717786,-1.2565452048785926,0.0,748993.2155158048,3.673073934760253E-4
abs,2020-01-01 01:00,265.8137294027711,263.96215836828554,89538.97882515007,0.7801996113866067,0.5390558864019489,0.0,878940.906949783,6.169535252102557E-5
bs,2020-01-01 01:00,257.70303579859285,255.20868171613247,96041.11940450351,-2.411513156238873,1.1034759173752882,0.0,708612.7596140804,3.3442882797718705E-6
si,2020-01-01 01:00,237.83125677931255,233.90398648798794,101156.58561072263,0.817233691602503,5.201601848674193,0.0,430225.7098897544,0.0
tl27,2020-01-01 02:00,250.38764995662797,246.66676276228452,98035.62489628559,2.5090212084533916,-9.138837861132739,0.004671574178935448,635227.9934015982,2.439083746897285E-5
tl47,2020-01-01 02:00,250.70676698538816,246.99461118880254,98473.3073917674,2.4470766693594124,-9.583579641304112,0.01409583683976041,644801.4979270829,3.091463181360081E-5
kg,2020-01-01 02:00,249.39178073643242,245.68695754612926,97382.54092271387,2.238803382555482,-6.633766935789763,0.021383191497705793,594965.6038226988,2.3046868337809398E-5
kfc,2020-01-01 02:00,249.3017320053999,245.88997135416668,97517.50663786766,2.2026675020105695,-6.707778033088235,0.04001960784313725,604582.5615980392,3.181306323876568E-5
cnl,2020-01-01 02:00,248.5656442670474,244.71981088169923,96986.08516935652,2.378546660222714,-7.077279686538594,0.014126776834597418,533633.2125295092,7.510226594311401E-6
utq,2020-01-01 02:00,246.2554436456183,243.39621199069694,100550.04166453565,-0.24630131500925,-6.136993384544052,0.0,595916.3172969248,3.142670812260962E-6
