gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
tl27,2019-01-01 00:00,267.20433010256363,266.2204663401598,95060.27671015791,-0.4446441969122093,0.40941006566978067,31452.23883226375,1036867.1920221468,4.4305340004999324E-4
tl47,2019-01-01 00:00,266.62656839367986,265.49247112192023,95420.4242573078,-0.5508492358704203,-0.296892695967251,28766.59630711351,1032444.9713875549,4.588328274244908E-4
kg,2019-01-01 00:00,266.60975583780834,265.62796857380494,94691.29502198614,-1.4582693512203453,1.0674128617121708,21668.981058080706,1024975.8503078552,4.287745020960755E-4
kfc,2019-01-01 00:00,265.6610743312462,264.42030902219284,94798.86052205884,-1.6941802475873162,0.4434411347333122,19456.686745098043,1004756.2534901962,3.3161518386766014E-4
cnl,2019-01-01 00:00,268.0694033562242,267.2786986030887,94692.40005697799,-1.2088106337326041,3.1737015746839616,24765.05017831131,1038589.2575719522,5.019377058002254E-4
utq,2019-01-01 00:00,251.04483298128275,247.9587057407579,98970.11651924152,-8.739444968928169,-4.513844694767991,0.0,776870.0071496256,7.568457523194466E-6
tvc,2019-01-01 00:00,262.9391465407766,259.58748359583757,98318.53955346251,-2.345912864523467,1.7426592123536513,0.0,932432.2119759438,1.5051098851975552E-5
tfs,2019-01-01 00:00,259.8606335529885,256.7176114887232,88065.27262895116,-0.9568264714137846,3.3236387875450477,0.0,779299.5744539003,1.232834969171286E-5
abs,2019-01-01 00:00,264.08203515819855,262.56856328769095,88189.4312626231,-1.1889775024591203,0.2907266704338367,0.0,1014328.131730657,9.118101506510169E-4
bs,2019-01-01 00:00,254.9366098984519,251.48261050277605,97416.81491623714,0.46122666357395403,-5.669517464826631,0.0,725555.3647585458,6.873893328678073E-5
si,2019-01-01 00:00,252.72624151797328,248.86481049056607,99440.22556158889,6.454522284853333,5.171058650150835,0.0,728338.7212407467,2.1161966056621034E-5
tl27,2019-01-01 01:00,266.78020176900117,265.89266557838687,95166.87305645998,0.010584467264695972,1.6432130754076493,10697.743865609666,1032011.4927802945,3.431088966015707E-4
tl47,2019-01-01 01:00,266.6209151781311,265.54719933518845,95510.56360336432,-0.2162875686327506,0.8084492857376776,8985.015271521213,1031466.5704296816,3.663330133230749E-4
kg,2019-01-01 01:00,266.7232619447565,265.78315344941046,94780.76551255686,-1.1444006242575917,1.8595396819650074,5151.338542687949,1038569.7897956785,2.983747986784668E-4
kfc,2019-01-01 01:00,265.98467109470744,264.8331007367303,94867.88843504903,-1.6735766577627147,1.217237554063984,2763.8277450980386,1030678.8490931374,3.1037979379442397E-4
cnl,2019-01-01 01:00,268.03990234270765,267.25879473175826,94826.89582326145,-0.3779142984183993,4.286382518580345,5418.518044602943,1042115.1540132603,2.927371895832247E-4
utq,2019-01-01 01:00,251.27691007126663,248.1993744490591,98960.05028224333,-8.622339780164925,-4.77516903434883,0.0,786517.9074748041,9.51139617206535E-6
tvc,2019-01-01 01:00,263.4655776268663,260.02793955829935,98253.80732276324,-2.228382644912666,2.0070843570662356,0.0,955216.7299965138,5.1399046941717576E-5
