gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
cell_01,2021-01-01 00:00,241.33599060058594,238.24296630859374,100028.32359375,-4.809013404846191,-1.2440753173828125,0.0,524579.84,1.7791986465454102E-6
cell_02,2021-01-01 00:00,241.31513122558593,238.23288818359376,100395.04359375,-4.885497779846191,-1.3253643798828125,0.0,516277.52,1.149773597717285E-6
cell_03,2021-01-01 00:00,241.69536560058594,238.61101318359374,100351.28359375,-5.305165748596192,-1.4677081298828125,0.0,509848.64,1.0573863983154296E-6
cell_01,2021-01-01 01:00,241.5321728515625,238.41244689941405,99978.348125,-5.2260266876220705,-1.4596478271484374,0.0,524611.15,1.4962255954742431E-6
cell_02,2021-01-01 01:00,241.4723291015625,238.37299377441406,100347.708125,-5.27397590637207,-1.5467962646484374,0.0,513758.01,6.880238652229309E-7
cell_03,2021-01-01 01:00,241.8109228515625,238.71033752441406,100308.908125,-5.64006965637207,-1.6305853271484374,0.0,506687.255,8.381530642509461E-7
cell_01,2021-01-01 02:00,241.71410888671875,238.59108520507812,99907.06703125,-5.483390655517578,-1.5465057373046875,0.0,521392.9125,1.5139579772949218E-6
cell_02,2021-01-01 02:00,241.70582763671874,238.57717895507812,100273.66703125,-5.602785186767578,-1.6655682373046874,0.0,516152.8025,7.544085383415222E-7
cell_03,2021-01-01 02:00,242.02668701171876,238.8885070800781,100232.90703125,-6.003996124267578,-1.7758026123046875,0.0,510916.2175,5.328282713890076E-7
cell_01,2021-01-01 03:00,241.8924981689453,238.75066650390625,99853.585,-5.681341323852539,-1.626729736328125,0.0,518578.7675,1.8495321273803712E-6
cell_02,2021-01-01 03:00,241.9436700439453,238.78840087890626,100219.345,-5.855521011352539,-1.764073486328125,0.0,515525.6975,8.448958396911622E-7
cell_03,2021-01-01 03:00,242.26101379394532,239.09386962890625,100176.865,-6.274642105102539,-1.882784423828125,0.0,512020.5375,5.462020635604859E-7
cell_01,2021-01-01 04:00,241.99059448242187,238.83677124023438,99791.7953125,-5.647581291198731,-1.6832666015625,0.0,508595.45,1.9174814224243165E-6
