gid,i_lat,i_lon,intersect_area_m2,weight
cell_01,2,0,68660111.73307152,0.12595938749085264
cell_01,2,1,68709640.340132,0.1260502494607962
cell_01,3,0,68351408.5328218,0.12539306062306238
cell_01,3,1,68350551.26422657,0.1253914879337025
cell_01,4,0,67955039.78797367,0.12466590823339417
cell_01,4,1,67954182.49892275,0.12466433550650761
cell_01,5,0,67558325.75205573,0.12393812239512589
cell_01,5,1,67557958.3355077,0.12393744835655858
